po_id,supplier_id,sku,order_date,promised_date,received_date,qty_ordered,qty_received,unit_cost,freight_cost
PO-5033,7,SKU-1005,2025-01-24,2025-02-13,2025-02-12,250,250,39.74,74.02
PO-5034,17,SKU-1018,2025-01-20,2025-02-09,2025-02-07,500,500,3.74,97.92
PO-5035,1,SKU-1011,2025-01-20,2025-02-08,2025-02-23,500,500,36.45,46.11
PO-5036,13,SKU-1021,2025-01-27,2025-02-11,2025-02-08,250,250,2.24,75.43
PO-5037,4,SKU-1060,2025-01-28,2025-02-11,2025-02-10,250,250,7.84,41.97
PO-5038,19,SKU-1005,2025-01-29,2025-02-21,2025-03-02,100,100,39.74,6.55
PO-5039,22,SKU-1019,2025-02-01,2025-02-26,2025-03-06,250,250,5.69,36.17
PO-5040,25,SKU-1024,2025-02-02,2025-02-25,2025-02-26,1000,1000,13.92,312.72
PO-5041,18,SKU-1036,2025-01-28,2025-02-08,2025-02-05,1000,1000,33.83,234.47
PO-5042,5,SKU-1042,2025-02-02,2025-02-12,2025-02-09,750,750,33.81,143.74
PO-5043,11,SKU-1019,2025-01-29,2025-02-15,2025-02-14,500,500,5.69,70.13
PO-5044,18,SKU-1043,2025-01-30,2025-02-10,2025-02-08,100,100,34.91,32.18
PO-5045,16,SKU-1036,2025-01-28,2025-02-07,2025-02-06,500,500,33.83,107.17
PO-5046,8,SKU-1006,2025-01-28,2025-02-13,2025-02-10,250,250,27.6,31.88
PO-5047,1,SKU-1048,2025-02-09,2025-02-28,2025-02-28,1000,1000,26.03,163.06
PO-5048,11,SKU-1049,2025-02-03,2025-02-20,2025-02-19,200,200,26.46,41.75
PO-5049,7,SKU-1006,2025-02-05,2025-02-25,2025-03-10,500,500,27.6,89.78
PO-5050,10,SKU-1055,2025-02-09,2025-02-23,2025-02-20,200,154,38.85,55.82
PO-5051,16,SKU-1038,2025-02-06,2025-02-16,2025-02-16,750,750,33.87,256.25
PO-5052,8,SKU-1051,2025-02-03,2025-02-19,2025-02-17,750,750,11.34,62.0
PO-5053,24,SKU-1045,2025-02-08,2025-02-24,2025-02-24,100,100,18.3,6.19
PO-5054,5,SKU-1015,2025-02-07,2025-02-17,2025-02-16,200,200,23.01,41.7
PO-5055,14,SKU-1045,2025-02-09,2025-03-01,2025-02-26,250,250,18.3,56.22
PO-5056,9,SKU-1015,2025-02-16,2025-03-05,2025-03-02,750,750,23.01,141.16
PO-5057,11,SKU-1042,2025-02-16,2025-03-05,2025-03-21,750,750,33.81,93.09
PO-5058,14,SKU-1046,2025-02-15,2025-03-07,2025-03-04,200,200,28.23,50.47
PO-5059,14,SKU-1006,2025-02-12,2025-03-04,2025-03-04,250,250,27.6,15.06
PO-5060,11,SKU-1046,2025-02-13,2025-03-02,2025-03-02,200,181,28.23,54.35
PO-5061,17,SKU-1005,2025-02-11,2025-03-03,2025-03-01,250,250,39.74,27.04
PO-5062,15,SKU-1015,2025-02-12,2025-03-04,2025-03-03,100,100,23.01,19.87
PO-5063,6,SKU-1058,2025-02-11,2025-02-28,2025-02-25,750,750,39.53,126.03
PO-5064,7,SKU-1002,2025-02-14,2025-03-06,2025-03-03,1000,899,7.93,184.89
PO-5065,23,SKU-1057,2025-02-12,2025-02-20,2025-02-17,200,200,18.68,21.13
PO-5066,17,SKU-1048,2025-02-13,2025-03-05,2025-03-05,250,250,26.03,45.68
PO-5067,4,SKU-1001,2025-02-10,2025-02-24,2025-02-23,500,500,26.05,43.56
PO-5068,13,SKU-1023,2025-02-23,2025-03-10,2025-03-10,100,84,5.91,10.87
PO-5069,18,SKU-1059,2025-02-20,2025-03-03,2025-03-02,1000,1000,40.68,59.08
PO-5070,14,SKU-1016,2025-02-23,2025-03-15,2025-03-15,100,100,39.97,18.92
PO-5071,2,SKU-1017,2025-02-18,2025-02-28,2025-02-27,250,250,17.44,84.33
PO-5072,20,SKU-1003,2025-02-19,2025-02-26,2025-02-25,250,250,2.8,66.62
PO-5073,20,SKU-1059,2025-02-23,2025-03-02,2025-02-27,100,100,40.68,8.22
PO-5074,23,SKU-1030,2025-02-23,2025-03-03,2025-03-02,500,500,34.59,44.91
PO-5075,16,SKU-1012,2025-02-17,2025-02-27,2025-02-26,1000,1000,40.28,232.18
PO-5076,11,SKU-1056,2025-02-19,2025-03-08,2025-03-05,750,750,6.16,206.9
PO-5077,14,SKU-1005,2025-03-01,2025-03-21,2025-03-20,200,200,39.74,63.01
PO-5078,3,SKU-1017,2025-02-28,2025-03-18,2025-03-15,500,500,17.44,131.47
PO-5079,15,SKU-1012,2025-02-25,2025-03-17,2025-03-17,750,750,40.28,90.36
PO-5080,18,SKU-1055,2025-03-02,2025-03-13,2025-03-10,250,250,38.85,55.02
PO-5081,12,SKU-1017,2025-03-01,2025-03-15,2025-03-15,200,200,17.44,24.13
PO-5082,10,SKU-1057,2025-02-28,2025-03-14,2025-03-11,500,500,18.68,61.89
PO-5083,17,SKU-1015,2025-03-01,2025-03-21,2025-03-21,100,100,23.01,19.24
PO-5084,8,SKU-1054,2025-02-27,2025-03-15,2025-03-12,250,250,21.93,16.28
PO-5085,20,SKU-1053,2025-02-28,2025-03-07,2025-03-04,250,250,26.19,25.83
PO-5086,25,SKU-1050,2025-03-08,2025-03-31,2025-04-04,1000,1000,22.85,235.98
PO-5087,7,SKU-1003,2025-03-05,2025-03-25,2025-03-22,200,200,2.8,12.29
PO-5088,24,SKU-1042,2025-03-04,2025-03-20,2025-03-19,500,500,33.81,52.77
PO-5089,10,SKU-1005,2025-03-04,2025-03-18,2025-03-18,750,750,39.74,129.34
PO-5090,13,SKU-1043,2025-03-07,2025-03-22,2025-03-19,1000,1000,34.91,258.62
PO-5091,14,SKU-1019,2025-03-08,2025-03-28,2025-03-25,250,250,5.69,78.78
PO-5092,14,SKU-1027,2025-03-03,2025-03-23,2025-04-04,1000,1000,41.12,268.41
PO-5093,7,SKU-1001,2025-03-06,2025-03-26,2025-04-09,100,100,26.05,17.19
PO-5094,12,SKU-1030,2025-03-09,2025-03-23,2025-03-20,100,100,34.59,24.22
PO-5095,13,SKU-1006,2025-03-07,2025-03-22,2025-03-21,1000,1000,27.6,93.77
PO-5096,6,SKU-1034,2025-03-11,2025-03-28,2025-04-01,500,500,10.46,145.72
PO-5097,7,SKU-1020,2025-03-11,2025-03-31,2025-03-28,500,500,24.32,116.15
PO-5098,21,SKU-1025,2025-03-10,2025-03-30,2025-04-05,1000,1000,20.73,116.62
PO-5099,13,SKU-1040,2025-03-16,2025-03-31,2025-03-31,200,200,25.31,12.5
PO-5100,17,SKU-1011,2025-03-13,2025-04-02,2025-03-31,200,200,36.45,58.94
PO-5101,7,SKU-1003,2025-03-14,2025-04-03,2025-03-31,1000,1000,2.8,85.32
PO-5102,20,SKU-1030,2025-03-14,2025-03-21,2025-03-20,1000,1000,34.59,224.79
PO-5103,14,SKU-1025,2025-03-15,2025-04-04,2025-04-04,200,160,20.73,69.17
PO-5104,15,SKU-1016,2025-03-13,2025-04-02,2025-04-02,200,200,39.97,34.02
PO-5105,3,SKU-1009,2025-03-12,2025-03-30,2025-03-27,500,500,31.33,123.56
PO-5106,21,SKU-1009,2025-03-17,2025-04-06,2025-04-17,1000,1000,31.33,66.28
PO-5107,17,SKU-1058,2025-03-20,2025-04-09,2025-04-07,100,100,39.53,34.88
PO-5108,24,SKU-1045,2025-03-23,2025-04-08,2025-04-06,500,500,18.3,146.65
PO-5109,6,SKU-1044,2025-03-23,2025-04-09,2025-04-07,100,100,13.15,23.31
PO-5110,9,SKU-1011,2025-03-19,2025-04-05,2025-04-14,500,500,36.45,100.33
PO-5111,16,SKU-1014,2025-03-21,2025-03-31,2025-03-29,250,250,8.64,27.42
PO-5112,6,SKU-1041,2025-03-26,2025-04-12,2025-04-12,200,200,7.56,25.86
PO-5113,25,SKU-1034,2025-03-24,2025-04-16,2025-04-15,500,500,10.46,112.01
PO-5114,4,SKU-1017,2025-03-28,2025-04-11,2025-04-11,1000,1000,17.44,129.43
PO-5115,12,SKU-1037,2025-03-25,2025-04-08,2025-04-05,500,500,20.7,117.31
PO-5116,2,SKU-1019,2025-03-30,2025-04-09,2025-04-08,1000,1000,5.69,311.09
PO-5117,22,SKU-1058,2025-03-26,2025-04-20,2025-04-17,200,200,39.53,46.96
PO-5118,14,SKU-1027,2025-03-28,2025-04-17,2025-04-14,200,200,41.12,46.75
PO-5119,2,SKU-1002,2025-03-24,2025-04-03,2025-04-02,250,250,7.93,39.29
PO-5120,8,SKU-1027,2025-03-28,2025-04-13,2025-04-11,200,200,41.12,59.71
PO-5121,6,SKU-1009,2025-03-24,2025-04-10,2025-04-18,1000,1000,31.33,78.74
PO-5122,21,SKU-1010,2025-03-30,2025-04-19,2025-04-18,500,500,7.99,170.07
PO-5123,2,SKU-1042,2025-03-30,2025-04-09,2025-04-08,750,750,33.81,137.34
PO-5124,24,SKU-1032,2025-04-01,2025-04-17,2025-04-14,100,99,11.77,17.18
PO-5125,8,SKU-1011,2025-03-31,2025-04-16,2025-04-13,100,100,36.45,24.7
PO-5126,7,SKU-1010,2025-04-03,2025-04-23,2025-04-23,750,750,7.99,107.11
PO-5127,10,SKU-1041,2025-03-31,2025-04-14,2025-04-30,1000,1000,7.56,162.55
PO-5128,14,SKU-1048,2025-04-03,2025-04-23,2025-04-23,200,200,26.03,16.32
PO-5129,8,SKU-1042,2025-03-31,2025-04-16,2025-04-15,1000,837,33.81,216.14
PO-5130,14,SKU-1044,2025-04-06,2025-04-26,2025-05-05,250,250,13.15,84.89
PO-5131,7,SKU-1006,2025-04-04,2025-04-24,2025-04-23,200,200,27.6,22.17
PO-5132,6,SKU-1048,2025-04-02,2025-04-19,2025-04-19,250,250,26.03,40.96
PO-5133,21,SKU-1059,2025-04-05,2025-04-25,2025-05-13,500,500,40.68,104.59
PO-5134,1,SKU-1055,2025-03-31,2025-04-19,2025-04-17,750,750,38.85,215.07
PO-5135,13,SKU-1040,2025-04-04,2025-04-19,2025-04-17,200,192,25.31,16.4
PO-5136,6,SKU-1023,2025-04-01,2025-04-18,2025-04-15,100,100,5.91,24.31
PO-5137,2,SKU-1045,2025-03-31,2025-04-10,2025-04-07,750,750,18.3,82.35
PO-5138,22,SKU-1005,2025-04-13,2025-05-08,2025-05-08,100,100,39.74,11.09
PO-5139,2,SKU-1003,2025-04-13,2025-04-23,2025-04-20,1000,1000,2.8,193.13
PO-5140,5,SKU-1007,2025-04-13,2025-04-23,2025-04-21,250,250,2.12,44.28
PO-5141,1,SKU-1023,2025-04-09,2025-04-28,2025-04-30,1000,1000,5.91,323.1
PO-5142,25,SKU-1039,2025-04-11,2025-05-04,2025-05-03,750,750,30.77,215.04
PO-5143,1,SKU-1028,2025-04-11,2025-04-30,2025-04-29,500,500,38.26,105.68
PO-5144,7,SKU-1046,2025-04-13,2025-05-03,2025-05-02,200,200,28.23,41.41
PO-5145,10,SKU-1049,2025-04-13,2025-04-27,2025-04-28,250,250,26.46,49.36
PO-5146,6,SKU-1032,2025-04-11,2025-04-28,2025-04-27,750,750,11.77,101.34
PO-5147,7,SKU-1045,2025-04-08,2025-04-28,2025-04-25,1000,1000,18.3,197.09
PO-5148,23,SKU-1036,2025-04-13,2025-04-21,2025-04-20,250,250,33.83,82.14
PO-5149,24,SKU-1006,2025-04-10,2025-04-26,2025-04-23,250,250,27.6,32.24
PO-5150,18,SKU-1033,2025-04-08,2025-04-19,2025-04-17,500,500,40.16,114.11
PO-5151,23,SKU-1049,2025-04-11,2025-04-19,2025-04-18,750,750,26.46,72.45
PO-5152,22,SKU-1036,2025-04-19,2025-05-14,2025-05-14,500,500,33.83,63.58
PO-5153,8,SKU-1009,2025-04-16,2025-05-02,2025-04-30,750,750,31.33,105.34
PO-5154,23,SKU-1053,2025-04-20,2025-04-28,2025-04-26,200,200,26.19,46.17
PO-5155,12,SKU-1011,2025-04-15,2025-04-29,2025-04-27,250,250,36.45,67.15
PO-5156,4,SKU-1011,2025-04-19,2025-05-03,2025-05-03,200,200,36.45,57.69
PO-5157,24,SKU-1020,2025-04-17,2025-05-03,2025-04-30,1000,1000,24.32,134.24
PO-5158,13,SKU-1030,2025-04-14,2025-04-29,2025-04-29,1000,1000,34.59,344.26
PO-5159,10,SKU-1030,2025-04-14,2025-04-28,2025-04-28,100,100,34.59,32.24
PO-5160,14,SKU-1045,2025-04-18,2025-05-08,2025-05-08,200,200,18.3,49.15
PO-5161,25,SKU-1042,2025-04-19,2025-05-12,2025-05-10,1000,1000,33.81,87.26
PO-5162,14,SKU-1021,2025-04-16,2025-05-06,2025-05-03,500,500,2.24,85.02
PO-5163,23,SKU-1041,2025-04-15,2025-04-23,2025-04-23,500,500,7.56,118.24
PO-5164,14,SKU-1034,2025-04-19,2025-05-09,2025-05-07,1000,1000,10.46,53.19
PO-5165,4,SKU-1003,2025-04-23,2025-05-07,2025-05-05,1000,1000,2.8,332.18
PO-5166,17,SKU-1023,2025-04-21,2025-05-11,2025-05-11,750,750,5.91,144.54
PO-5167,1,SKU-1041,2025-04-27,2025-05-16,2025-05-15,500,500,7.56,93.54
PO-5168,22,SKU-1012,2025-04-24,2025-05-19,2025-05-16,1000,1000,40.28,156.64
PO-5169,2,SKU-1017,2025-04-23,2025-05-03,2025-04-30,100,86,17.44,23.86
PO-5170,22,SKU-1023,2025-04-25,2025-05-20,2025-05-18,250,250,5.91,82.99
PO-5171,17,SKU-1015,2025-04-27,2025-05-17,2025-06-01,200,200,23.01,65.77
PO-5172,3,SKU-1052,2025-04-27,2025-05-15,2025-05-15,1000,1000,19.65,117.8
PO-5173,5,SKU-1023,2025-04-26,2025-05-06,2025-05-06,500,500,5.91,138.98
PO-5174,21,SKU-1009,2025-04-27,2025-05-17,2025-05-29,200,200,31.33,32.57
PO-5175,9,SKU-1028,2025-04-26,2025-05-13,2025-05-10,1000,1000,38.26,157.39
PO-5176,21,SKU-1020,2025-04-23,2025-05-13,2025-05-13,750,750,24.32,185.83
PO-5177,12,SKU-1010,2025-04-23,2025-05-07,2025-05-04,100,100,7.99,32.17
PO-5178,17,SKU-1054,2025-04-30,2025-05-20,2025-05-17,1000,756,21.93,71.6
PO-5179,10,SKU-1017,2025-05-02,2025-05-16,2025-05-14,200,200,17.44,37.12
PO-5180,5,SKU-1014,2025-05-01,2025-05-11,2025-05-09,750,750,8.64,174.38
PO-5181,3,SKU-1043,2025-05-02,2025-05-20,2025-05-19,200,200,34.91,22.79
PO-5182,3,SKU-1048,2025-05-04,2025-05-22,2025-05-19,750,750,26.03,131.78
PO-5183,5,SKU-1031,2025-05-01,2025-05-11,2025-05-11,500,500,15.71,130.06
PO-5184,8,SKU-1032,2025-04-29,2025-05-15,2025-05-12,200,200,11.77,38.08
PO-5185,19,SKU-1032,2025-05-03,2025-05-26,2025-05-26,250,250,11.77,87.5
PO-5186,6,SKU-1041,2025-05-07,2025-05-24,2025-05-21,100,100,7.56,25.48
PO-5187,11,SKU-1052,2025-05-05,2025-05-22,2025-05-22,200,154,19.65,34.94
PO-5188,5,SKU-1022,2025-05-05,2025-05-15,2025-05-14,250,250,40.18,51.92
PO-5189,25,SKU-1059,2025-05-06,2025-05-29,2025-05-28,500,500,40.68,32.91
PO-5190,10,SKU-1019,2025-05-07,2025-05-21,2025-05-21,250,250,5.69,32.88
PO-5191,17,SKU-1023,2025-05-06,2025-05-26,2025-05-23,250,250,5.91,65.99
PO-5192,5,SKU-1038,2025-05-10,2025-05-20,2025-05-17,500,500,33.87,157.84
PO-5193,19,SKU-1004,2025-05-15,2025-06-07,2025-06-04,100,100,25.45,32.64
PO-5194,20,SKU-1050,2025-05-17,2025-05-24,2025-05-24,750,750,22.85,189.08
PO-5195,23,SKU-1039,2025-05-17,2025-05-25,2025-05-22,1000,1000,30.77,237.58
PO-5196,6,SKU-1007,2025-05-17,2025-06-03,2025-05-31,500,500,2.12,162.11
PO-5197,21,SKU-1001,2025-05-14,2025-06-03,2025-06-08,250,250,26.05,31.85
PO-5198,10,SKU-1012,2025-05-15,2025-05-29,2025-05-26,500,500,40.28,111.74
PO-5199,2,SKU-1032,2025-05-16,2025-05-26,2025-05-23,500,500,11.77,162.79
PO-5200,15,SKU-1005,2025-05-12,2025-06-01,2025-05-30,500,500,39.74,107.32
PO-5201,3,SKU-1042,2025-05-15,2025-06-02,2025-05-31,1000,998,33.81,52.8
PO-5202,22,SKU-1008,2025-05-18,2025-06-12,2025-06-09,200,200,5.98,26.53
PO-5203,19,SKU-1016,2025-05-15,2025-06-07,2025-06-05,100,100,39.97,27.42
PO-5204,23,SKU-1055,2025-05-13,2025-05-21,2025-05-18,250,250,38.85,65.69
PO-5205,15,SKU-1043,2025-05-14,2025-06-03,2025-06-05,1000,984,34.91,54.42
PO-5206,21,SKU-1044,2025-05-18,2025-06-07,2025-06-07,250,250,13.15,57.51
PO-5207,20,SKU-1004,2025-05-21,2025-05-28,2025-05-28,500,500,25.45,46.74
PO-5208,4,SKU-1024,2025-05-24,2025-06-07,2025-06-07,500,500,13.92,142.94
PO-5209,9,SKU-1051,2025-05-25,2025-06-11,2025-06-10,250,208,11.34,65.24
PO-5210,20,SKU-1022,2025-05-25,2025-06-01,2025-05-29,200,200,40.18,28.52
PO-5211,14,SKU-1057,2025-05-20,2025-06-09,2025-06-09,750,750,18.68,90.23
PO-5212,15,SKU-1019,2025-05-24,2025-06-13,2025-06-12,250,250,5.69,56.5
PO-5213,25,SKU-1057,2025-05-25,2025-06-17,2025-06-15,750,750,18.68,256.96
PO-5214,18,SKU-1044,2025-05-25,2025-06-05,2025-06-04,750,608,13.15,146.57
PO-5215,13,SKU-1013,2025-05-25,2025-06-09,2025-06-07,250,250,10.66,63.32
PO-5216,15,SKU-1046,2025-05-20,2025-06-09,2025-06-10,500,500,28.23,38.16
PO-5217,12,SKU-1050,2025-05-19,2025-06-02,2025-06-01,750,750,22.85,151.39
PO-5218,7,SKU-1013,2025-05-20,2025-06-09,2025-06-07,1000,1000,10.66,223.36
PO-5219,12,SKU-1026,2025-05-25,2025-06-08,2025-06-06,200,168,15.96,32.44
PO-5220,12,SKU-1041,2025-05-29,2025-06-12,2025-06-10,250,250,7.56,38.37
PO-5221,17,SKU-1039,2025-05-26,2025-06-15,2025-06-13,750,750,30.77,165.12
PO-5222,9,SKU-1060,2025-06-01,2025-06-18,2025-06-15,500,500,7.84,147.82
PO-5223,5,SKU-1017,2025-06-01,2025-06-11,2025-06-09,200,200,17.44,11.65
PO-5224,2,SKU-1036,2025-05-28,2025-06-07,2025-06-07,500,500,33.83,161.49
PO-5225,3,SKU-1056,2025-05-30,2025-06-17,2025-06-14,1000,1000,6.16,127.16
PO-5226,19,SKU-1015,2025-05-31,2025-06-23,2025-06-23,200,200,23.01,19.58
PO-5227,24,SKU-1015,2025-06-03,2025-06-19,2025-06-18,250,214,23.01,80.34
PO-5228,2,SKU-1017,2025-06-08,2025-06-18,2025-06-18,100,100,17.44,14.53
PO-5229,1,SKU-1013,2025-06-07,2025-06-26,2025-06-26,1000,1000,10.66,147.18
PO-5230,9,SKU-1025,2025-06-02,2025-06-19,2025-06-19,200,200,20.73,58.45
PO-5231,22,SKU-1058,2025-06-02,2025-06-27,2025-06-25,100,100,39.53,29.99
PO-5232,3,SKU-1060,2025-06-06,2025-06-24,2025-06-29,500,500,7.84,163.89
PO-5233,13,SKU-1054,2025-06-02,2025-06-17,2025-06-17,250,250,21.93,30.04
PO-5234,4,SKU-1041,2025-06-04,2025-06-18,2025-06-16,1000,817,7.56,185.41
PO-5235,5,SKU-1029,2025-06-08,2025-06-18,2025-06-18,500,500,32.99,28.81
PO-5236,11,SKU-1052,2025-06-10,2025-06-27,2025-06-24,250,250,19.65,48.68
PO-5237,5,SKU-1033,2025-06-09,2025-06-19,2025-06-17,750,750,40.16,101.9
PO-5238,9,SKU-1049,2025-06-10,2025-06-27,2025-07-11,250,250,26.46,81.88
PO-5239,4,SKU-1025,2025-06-11,2025-06-25,2025-06-23,100,100,20.73,34.36
PO-5240,5,SKU-1041,2025-06-09,2025-06-19,2025-06-18,750,750,7.56,37.93
PO-5241,17,SKU-1019,2025-06-10,2025-06-30,2025-06-27,500,500,5.69,110.7
PO-5242,5,SKU-1054,2025-06-10,2025-06-20,2025-06-18,1000,1000,21.93,230.2
PO-5243,3,SKU-1057,2025-06-13,2025-07-01,2025-06-30,200,200,18.68,46.75
PO-5244,23,SKU-1041,2025-06-15,2025-06-23,2025-06-22,200,155,7.56,53.96
PO-5245,14,SKU-1054,2025-06-14,2025-07-04,2025-07-21,250,250,21.93,75.64
PO-5246,3,SKU-1001,2025-06-19,2025-07-07,2025-07-23,200,200,26.05,25.98
PO-5247,6,SKU-1037,2025-06-22,2025-07-09,2025-07-11,200,200,20.7,44.5
PO-5248,1,SKU-1023,2025-06-20,2025-07-09,2025-07-26,100,100,5.91,26.44
PO-5249,11,SKU-1050,2025-06-21,2025-07-08,2025-07-10,250,250,22.85,84.05
PO-5250,16,SKU-1029,2025-06-20,2025-06-30,2025-06-28,100,100,32.99,7.66
PO-5251,20,SKU-1012,2025-06-17,2025-06-24,2025-06-23,750,750,40.28,44.27
PO-5252,4,SKU-1060,2025-06-21,2025-07-05,2025-07-04,100,100,7.84,24.11
PO-5253,15,SKU-1034,2025-06-17,2025-07-07,2025-07-04,250,250,10.46,66.28
PO-5254,2,SKU-1018,2025-06-16,2025-06-26,2025-06-25,100,100,3.74,17.17
PO-5255,5,SKU-1035,2025-06-20,2025-06-30,2025-06-28,200,200,26.66,37.72
PO-5256,13,SKU-1011,2025-06-22,2025-07-07,2025-07-07,1000,1000,36.45,301.92
PO-5257,17,SKU-1003,2025-06-19,2025-07-09,2025-07-11,250,250,2.8,30.53
PO-5258,11,SKU-1046,2025-06-19,2025-07-06,2025-07-05,500,500,28.23,33.03
PO-5259,5,SKU-1044,2025-06-25,2025-07-05,2025-07-05,1000,1000,13.15,159.33
PO-5260,17,SKU-1012,2025-06-23,2025-07-13,2025-07-11,750,750,40.28,88.23
PO-5261,14,SKU-1026,2025-06-29,2025-07-19,2025-08-03,1000,773,15.96,341.99
PO-5262,2,SKU-1003,2025-06-29,2025-07-09,2025-07-08,1000,1000,2.8,238.47
PO-5263,2,SKU-1040,2025-06-23,2025-07-03,2025-06-30,500,500,25.31,30.91
PO-5264,4,SKU-1020,2025-06-25,2025-07-09,2025-07-06,100,100,24.32,33.68
PO-5265,17,SKU-1058,2025-06-25,2025-07-15,2025-07-13,500,500,39.53,44.71
PO-5266,10,SKU-1059,2025-06-26,2025-07-10,2025-07-09,200,200,40.68,54.42
PO-5267,10,SKU-1054,2025-06-26,2025-07-10,2025-07-08,1000,1000,21.93,214.57
PO-5268,12,SKU-1030,2025-06-27,2025-07-11,2025-07-11,500,500,34.59,29.64
PO-5269,11,SKU-1015,2025-06-24,2025-07-11,2025-07-11,750,750,23.01,245.44
PO-5270,6,SKU-1056,2025-06-24,2025-07-11,2025-07-10,500,500,6.16,156.76
PO-5271,7,SKU-1019,2025-06-23,2025-07-13,2025-07-11,750,660,5.69,136.5
PO-5272,2,SKU-1034,2025-06-26,2025-07-06,2025-07-05,1000,1000,10.46,206.28
PO-5273,14,SKU-1022,2025-07-05,2025-07-25,2025-07-23,750,750,40.18,99.77
PO-5274,17,SKU-1007,2025-07-05,2025-07-25,2025-07-25,250,250,2.12,65.64
PO-5275,23,SKU-1009,2025-07-03,2025-07-11,2025-07-08,500,500,31.33,112.88
PO-5276,16,SKU-1026,2025-07-04,2025-07-14,2025-07-13,750,750,15.96,122.9
PO-5277,15,SKU-1045,2025-07-03,2025-07-23,2025-07-22,250,250,18.3,51.96
PO-5278,20,SKU-1025,2025-07-05,2025-07-12,2025-07-12,500,500,20.73,52.63
PO-5279,10,SKU-1052,2025-07-01,2025-07-15,2025-07-15,750,750,19.65,222.37
PO-5280,11,SKU-1021,2025-07-06,2025-07-23,2025-07-21,250,250,2.24,44.48
PO-5281,1,SKU-1004,2025-07-09,2025-07-28,2025-07-28,250,250,25.45,70.51
PO-5282,18,SKU-1040,2025-07-10,2025-07-21,2025-07-21,500,500,25.31,31.11
PO-5283,22,SKU-1023,2025-07-10,2025-08-04,2025-08-07,750,750,5.91,129.64
PO-5284,17,SKU-1026,2025-07-12,2025-08-01,2025-07-30,200,200,15.96,39.2
PO-5285,15,SKU-1050,2025-07-11,2025-07-31,2025-08-11,1000,1000,22.85,294.77
PO-5286,6,SKU-1024,2025-07-09,2025-07-26,2025-07-23,250,250,13.92,20.79
PO-5287,23,SKU-1022,2025-07-20,2025-07-28,2025-07-28,1000,1000,40.18,136.98
